name,awards,university
Neeraj Kayal,0,IIT Kanpur
Manolis Kellis,3,Massachusetts Institute of Technology
Ken Kennedy (computer scientist),0,Rice University
Brian Kernighan,0,University of Toronto
Gregor Kiczales,0,Massachusetts Institute of Technology
Peter T. Kirstein,3,Highgate School
Stephen Cole Kleene,2,Amherst College
Dan Klein,2,Cornell University
Leonard Kleinrock,6,City College of New York
Donald Knuth,14,Case Western Reserve University
Andrew Koenig (programmer),0,Columbia University
Daphne Koller,5,Hebrew University of Jerusalem
Andrey Nikolaevich Kolmogorov,9,Moscow State University
Janet L. Kolodner,1,Brandeis University
Cornelis H. A. Koster,0,University of Amsterdam
Robert Kowalski,1,University of Chicago
Joseph Kruskal,0,University of Chicago
Maarja Kruusmaa,0,Tallinn University of Technology
Thomas E. Kurtz,0,Princeton University
Richard E. Ladner,5,St. Mary%27s College of California
Monica S. Lam,0,University of British Columbia
Leslie Lamport,6,Massachusetts Institute of Technology
Butler Lampson,6,Harvard University
Peter Landin,0,"Clare College, Cambridge"
Tom Lane (computer scientist),0,Carnegie Mellon University
Chris Lattner,2,University of Portland
Edward D. Lazowska,0,Brown University
Manny M Lehman,3,Imperial College London
Charles E. Leiserson,0,Carnegie Mellon University
Douglas Lenat,1,University of Pennsylvania
Yann LeCun,3,ESIEE Paris
Rasmus Lerdorf,0,University of Waterloo
Max Levchin,0,University of Illinois at Urbana-Champaign
Leonid Levin,1,Moscow University
Kevin Leyton-Brown,0,McMaster University
J.C.R. Licklider,0,Washington University in St. Louis
Jochen Liedtke,0,Bielefeld University
John Lions,0,University of Sydney
Richard J. Lipton,1,Carnegie Mellon University
Barbara Liskov,3,"University of California, Berkeley"
Yanhong Annie Liu,0,Cornell University
Darrell Long,2,San Diego State University
Patricia D. Lopez,0,New Mexico State University
Gillian Lovegrove,0,"Newnham College, Cambridge"
David Luckham,0,Doctor of Philosophy
Nancy Lynch,7,Brooklyn College
Nadia Magnenat Thalmann,0,University of Geneva
Tom Maibaum,1,Bachelor of Science
Simon Marlow,1,University of Glasgow
Zohar Manna,4,Technion %E2%80%93 Israel Institute of Technology
James Martin (author),2,University of Oxford
Yuri Matiyasevich,2,Leningrad State University
Yukihiro Matsumoto,0,University of Tsukuba
John Mauchly,4,Johns Hopkins University
Ujjwal Maulik,0,Nabadwip Bakultala High School
Derek McAuley,2,University of Cambridge
John McCarthy (computer scientist),6,Princeton University
Andrew McCallum,0,Dartmouth College
Douglas McIlroy,0,Cornell University
Marshall Kirk McKusick,0,"University of California, Berkeley"
Kurt Mehlhorn,4,Cornell University
Bertrand Meyer,0,Universit%C3%A9 de Nancy
Silvio Micali,4,La Sapienza University of Rome
